2016-04-19 10:30:29,299 [main] INFO  org.eclipse.jetty.util.log [Line:186] - Logging initialized @1549ms
2016-04-19 10:30:29,923 [main] INFO  org.eclipse.jetty.server.Server [Line:327] - jetty-9.2.10.v20150310
2016-04-19 10:30:29,986 [main] INFO  / [Line:2052] - Initializing Spring root WebApplicationContext
2016-04-19 10:30:29,986 [main] INFO  o.s.web.context.ContextLoader [Line:285] - Root WebApplicationContext: initialization started
2016-04-19 10:30:30,119 [main] INFO  o.s.w.c.s.XmlWebApplicationContext [Line:510] - Refreshing Root WebApplicationContext: startup date [Tue Apr 19 10:30:30 CST 2016]; root of context hierarchy
2016-04-19 10:30:30,191 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader [Line:317] - Loading XML bean definitions from ServletContext resource [/WEB-INF/applicationContext.xml]
2016-04-19 10:30:31,156 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor [Line:153] - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2016-04-19 10:30:31,427 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/es/query],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.Object zx.soft.tksdn.spring.controller.QueryController.queryData(javax.servlet.http.HttpServletRequest)
2016-04-19 10:30:32,128 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter [Line:523] - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Tue Apr 19 10:30:30 CST 2016]; root of context hierarchy
2016-04-19 10:30:32,163 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter [Line:523] - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Tue Apr 19 10:30:30 CST 2016]; root of context hierarchy
2016-04-19 10:30:32,224 [main] INFO  o.s.web.context.ContextLoader [Line:325] - Root WebApplicationContext: initialization completed in 2238 ms
2016-04-19 10:30:32,228 [main] INFO  / [Line:2052] - Initializing Spring FrameworkServlet 'org.springframework.web.servlet.DispatcherServlet-12cdcf4'
2016-04-19 10:30:32,229 [main] INFO  o.s.web.servlet.DispatcherServlet [Line:484] - FrameworkServlet 'org.springframework.web.servlet.DispatcherServlet-12cdcf4': initialization started
2016-04-19 10:30:32,278 [main] INFO  o.s.web.servlet.DispatcherServlet [Line:503] - FrameworkServlet 'org.springframework.web.servlet.DispatcherServlet-12cdcf4': initialization completed in 49 ms
2016-04-19 10:30:32,279 [main] INFO  o.e.j.server.handler.ContextHandler [Line:744] - Started o.e.j.s.ServletContextHandler@4493d195{/,file:/home/lb/workspace/tksdn-search/tksdn-springdemo/target/classes/webapp/,AVAILABLE}
2016-04-19 10:30:32,457 [main] INFO  o.e.jetty.server.ServerConnector [Line:266] - Started ServerConnector@59ec2012{HTTP/1.1}{0.0.0.0:8900}
2016-04-19 10:30:32,458 [main] INFO  org.eclipse.jetty.server.Server [Line:379] - Started @4763ms
2016-04-19 10:30:32,458 [main] INFO  z.s.t.spring.server.QueryApiServer [Line:62 ] - Server started at port 8900
2016-04-19 10:30:57,683 [qtp1917513796-14 - /es/query?q=%E5%85%9Anot%E4%BA%94not%E7%BB%8F%E6%B5%8E&hlfl=content&agg=src_ip] INFO  z.s.t.s.controller.QueryController [Line:41 ] - QueryParams [indexName=tekuan, indexType=record, preferenceType=, searchType=, includes=null, q=党not五not经济, termAgg=src_ip, dateHistAgg=, term=, value=, hlfl=content, rangeFiled=, rangeStart=, rangeEnd=, timeZone=, sort=, from=0, size=10]
2016-04-19 10:30:57,837 [qtp1917513796-14 - /es/query?q=%E5%85%9Anot%E4%BA%94not%E7%BB%8F%E6%B5%8E&hlfl=content&agg=src_ip] INFO  zx.soft.utils.config.ConfigUtil [Line:33 ] - Load resource: utils.properties
2016-04-19 10:30:57,843 [qtp1917513796-14 - /es/query?q=%E5%85%9Anot%E4%BA%94not%E7%BB%8F%E6%B5%8E&hlfl=content&agg=src_ip] INFO  zx.soft.utils.config.ConfigUtil [Line:33 ] - Load resource: elasticsearch.properties
2016-04-19 10:30:58,286 [qtp1917513796-14 - /es/query?q=%E5%85%9Anot%E4%BA%94not%E7%BB%8F%E6%B5%8E&hlfl=content&agg=src_ip] INFO  org.elasticsearch.plugins [Line:180] - [Cold War] modules [], plugins [], sites []
2016-04-19 10:31:02,044 [qtp1917513796-14 - /es/query?q=%E5%85%9Anot%E4%BA%94not%E7%BB%8F%E6%B5%8E&hlfl=content&agg=src_ip] INFO  zx.soft.tksdn.es.query.ESQueryCore [Line:86 ] - numFound=77246
2016-04-19 10:31:02,044 [qtp1917513796-14 - /es/query?q=%E5%85%9Anot%E4%BA%94not%E7%BB%8F%E6%B5%8E&hlfl=content&agg=src_ip] INFO  zx.soft.tksdn.es.query.ESQueryCore [Line:87 ] - QTime=1598
2016-04-19 10:33:27,248 [qtp1917513796-17 - /es/query?q=keyword:(%E7%94%9F%E6%B4%BB)and:(%E5%85%9Anot%E4%BA%94not%E7%BB%8F%E6%B5%8E)&hlfl=content&agg=src_ip] INFO  z.s.t.s.controller.QueryController [Line:41 ] - QueryParams [indexName=tekuan, indexType=record, preferenceType=, searchType=, includes=null, q=keyword:(生活)and:(党not五not经济), termAgg=src_ip, dateHistAgg=, term=, value=, hlfl=content, rangeFiled=, rangeStart=, rangeEnd=, timeZone=, sort=, from=0, size=10]
2016-04-19 10:33:27,532 [qtp1917513796-17 - /es/query?q=keyword:(%E7%94%9F%E6%B4%BB)and:(%E5%85%9Anot%E4%BA%94not%E7%BB%8F%E6%B5%8E)&hlfl=content&agg=src_ip] WARN  o.e.jetty.servlet.ServletHandler [Line:620] - 
org.springframework.web.util.NestedServletException: Request processing failed; nested exception is Failed to execute phase [query], all shards failed; shardFailures {[AUTzVT9cQLezZg1Nh1sKFg][tekuan][0]: RemoteTransportException[[node-7][192.168.3.60:9300][indices:data/read/search[phase/query]]]; nested: SearchParseException[failed to parse search source [{"query":{"query_string":{"query":"KEYW OR D:(生活) AND :(党 NOT 五 NOT 经济)"}},"explain":true,"aggregations":{"src_ip":{"terms":{"field":"src_ip","size":15}}},"highlight":{"pre_tags":["<span style=\"color:red\">"],"post_tags":["</span>"],"fragment_size":10000,"fields":{"content":{}}}}]]; nested: QueryParsingException[Failed to parse query [KEYW OR D:(生活) AND :(党 NOT 五 NOT 经济)]]; nested: NotSerializableExceptionWrapper[Cannot parse 'KEYW OR D:(生活) AND :(党 NOT 五 NOT 经济)': Encountered " ":" ": "" at line 1, column 19.
Was expecting one of:
2016-04-19 10:49:22,579 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter [Line:523] - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Tue Apr 19 10:49:21 CST 2016]; root of context hierarchy
2016-04-19 10:49:22,622 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter [Line:523] - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Tue Apr 19 10:49:21 CST 2016]; root of context hierarchy
2016-04-19 10:49:22,666 [main] INFO  o.s.web.context.ContextLoader [Line:325] - Root WebApplicationContext: initialization completed in 1151 ms
2016-04-19 10:49:22,705 [main] INFO  / [Line:2052] - Initializing Spring FrameworkServlet 'org.springframework.web.servlet.DispatcherServlet-157853da'
2016-04-19 10:49:22,706 [main] INFO  o.s.web.servlet.DispatcherServlet [Line:484] - FrameworkServlet 'org.springframework.web.servlet.DispatcherServlet-157853da': initialization started
2016-04-19 10:49:22,732 [main] INFO  o.s.web.servlet.DispatcherServlet [Line:503] - FrameworkServlet 'org.springframework.web.servlet.DispatcherServlet-157853da': initialization completed in 26 ms
2016-04-19 10:49:22,733 [main] INFO  o.e.j.server.handler.ContextHandler [Line:744] - Started o.e.j.s.ServletContextHandler@291caca8{/,file:/home/lb/workspace/tksdn-search/tksdn-springdemo/target/classes/webapp/,AVAILABLE}
2016-04-19 10:49:22,747 [main] INFO  o.e.jetty.server.ServerConnector [Line:266] - Started ServerConnector@2a65fe7c{HTTP/1.1}{0.0.0.0:8900}
2016-04-19 10:49:22,747 [main] INFO  org.eclipse.jetty.server.Server [Line:379] - Started @2277ms
2016-04-19 10:49:22,748 [main] INFO  z.s.t.spring.server.QueryApiServer [Line:62 ] - Server started at port 8900
